source_type,item_id,customer,plant,week_start,demand_qty,unit_cost,lifecycle,data_version
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-07-21,960,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-07-28,1020,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-08-04,1050,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-08-11,970,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-08-18,1010,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-08-25,990,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-09-01,1030,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-09-08,980,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-09-15,960,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-09-22,1020,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-09-29,1050,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-10-06,970,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-10-13,1010,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-10-20,990,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-10-27,1030,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-11-03,980,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-11-10,960,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-11-17,1020,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-11-24,1050,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-12-01,970,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-12-08,1010,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-12-15,990,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-12-22,1030,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2025-12-29,980,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-01-05,960,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-01-12,1020,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-01-19,1050,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-01-26,970,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-02-02,1010,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-02-09,990,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-02-16,1030,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-02-23,980,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-03-02,960,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-03-09,1020,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-03-16,1050,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-03-23,970,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-03-30,1010,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-04-06,990,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-04-13,1030,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-04-20,980,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-04-27,960,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-05-04,1020,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-05-11,1050,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-05-18,970,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-05-25,1010,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-06-01,990,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-06-08,1030,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-06-15,980,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-06-22,960,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-06-29,1020,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-07-06,1050,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_A,DEMO_CUSTOMER,DEMO_PLANT,2026-07-13,970,35,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_B,DEMO_CUSTOMER,DEMO_PLANT,2025-07-21,600,50,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_B,DEMO_CUSTOMER,DEMO_PLANT,2025-07-28,632,50,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_B,DEMO_CUSTOMER,DEMO_PLANT,2025-08-04,614,50,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_B,DEMO_CUSTOMER,DEMO_PLANT,2025-08-11,651,50,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_B,DEMO_CUSTOMER,DEMO_PLANT,2025-08-18,648,50,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_B,DEMO_CUSTOMER,DEMO_PLANT,2025-08-25,680,50,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_B,DEMO_CUSTOMER,DEMO_PLANT,2025-09-01,662,50,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_B,DEMO_CUSTOMER,DEMO_PLANT,2025-09-08,699,50,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_B,DEMO_CUSTOMER,DEMO_PLANT,2025-09-15,696,50,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_B,DEMO_CUSTOMER,DEMO_PLANT,2025-09-22,728,50,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_B,DEMO_CUSTOMER,DEMO_PLANT,2025-09-29,710,50,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_B,DEMO_CUSTOMER,DEMO_PLANT,2025-10-06,747,50,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_B,DEMO_CUSTOMER,DEMO_PLANT,2025-10-13,744,50,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_B,DEMO_CUSTOMER,DEMO_PLANT,2025-10-20,776,50,MATURE,DEMO-HISTORY-V1
DEMO,PRODUCT_B,DEMO_CUSTOMER,DEMO_PLANT,2025-10-27,758,50,MATURE,DEMO-HISTORY-V1
